"Title","Year","Type","Description","Link","KTS","LifeCourse","Tag1","Tag2","Tag3","Tag4"
"Falls Support Services, Derbyshire County Council",NA,"Link","Derbyshire County Council: Falls support services","https://www.derbyshire.gov.uk/social-health/adult-care-and-wellbeing/help-to-live-at-home/falls/falls-support-services/falls-support-services.aspx","Falls","Age Well",NA,NA,NA,NA
"Falls Information for Professionals",NA,"Link","Derbyshire County Council: Falls information for professionals","https://www.derbyshire.gov.uk/social-health/adult-care-and-wellbeing/help-to-live-at-home/falls/professionals/falls-information-for-professionals.aspx","Falls","Age Well",NA,NA,NA,NA
" Citizens Advice",NA,"Link","Derbyshire Law Centre and Citizens Advice - Generalist or specialist advice on debt, benefits, consumer, housing, immigration and employment in Derbyshire","https://derbyshirelawcentre.org.uk/","Financial","Stay Well",NA,NA,NA,NA
"Cost of living - Derbyshire County Council ",NA,"Link","Cost of living - Derbyshire County Council - Links for help with cost-of-living related issues","https://www.derbyshire.gov.uk/community/cost-of-living/cost-of-living.aspx","Financial","Stay Well",NA,NA,NA,NA
"Benefits, debt and legal matters - Derbyshire County Council",NA,"Link","Benefits, debt and legal matters - Derbyshire County Council - Information on where to get help in Derbyshire with financial and legal matters","https://www.derbyshire.gov.uk/social-health/adult-care-and-wellbeing/benefits-debt-and-legal-matters/benefits-debt-and-legal-matters.aspx","Financial","Stay Well","Financial",NA,NA,NA
"Derbyshire Law Centre",NA,"Link","Derbyshire Law Centre","https://www.derbyshirecab.org.uk/","Financial","Stay Well",NA,NA,NA,NA
"Food Banks in Derbyshire",NA,"Link","Food Banks in Derbyshire | Rural Action Derbyshire - Local food banks","https://www.ruralactionderbyshire.org.uk/foodbanks","Financial","Stay Well",NA,NA,NA,NA
"Digital Support in Derbyshire",NA,"Link","Find Digital Support in Derbyshire | Rural Action Derbyshire - Help with access to the internet and digital literacy support","https://www.ruralactionderbyshire.org.uk/get-online-in-derbyshire","Financial","Stay Well",NA,NA,NA,NA
"Evidence Summary Food Insecurity Interventions","2022","Report","An evidence summary of UK interventions to address food insecurity.","https://observatory.derbyshire.gov.uk/wp-content/uploads/reports/documents/health/specialist_reports_and_assessments/2022/Evidence_Summary_Food_Insecurity.pdf","Food Insecurity","Stay Well",NA,NA,NA,NA
"Food Insecurity HNA","2023","HNA","A health needs assessment of food insecurity in Derbyshire.","https://observatory.derbyshire.gov.uk/wp-content/uploads/reports/documents/health/specialist_reports_and_assessments/2023/Food_Insecurity_HNA.pdf","Food Insecurity","Stay Well","Food Insecurity",NA,NA,NA
"Team Up, including Ageing Well ",NA,"Link","Team Up, including Ageing Well - Team Up Derbyshire is creating one team across health and social care in Derby and Derbyshire who see all the people in a neighbourhood who are currently unable to leave home without support.","https://joinedupcarederbyshire.co.uk/your-services/team-up-including-ageing-well/","Frailty","Age Well","Falls",NA,NA,NA
"Age UK Derby and Derbyshire ",NA,"Link","Age UK Derby and Derbyshire - An independent local charity, working in the local community to help older people for 30 years. We have 40 dedicated staff and over 100 volunteers helping us to deliver services and activities for older people in Derby and Derbyshire.","https://www.ageuk.org.uk/derbyandderbyshire/","Frailty","Age Well","Falls",NA,NA,NA
"British Geriatrics Society: Introduction to Frailty, Fit for Frailty Part 1",NA,"Link","British Geriatrics Society: Introduction to Frailty, Fit for Frailty Part 1","https://www.bgs.org.uk/resources/introduction-to-frailty","Frailty","Age Well",NA,NA,NA,NA
"Fit for Frailty",NA,"Link","Fit for Frailty - The British Geriatrics Society believes that all those working with older people should be aware of, and assess for, frailty.","https://www.bgs.org.uk/resources/resource-series/fit-for-frailty","Frailty","Age Well","Falls",NA,NA,NA
"NHS England - Frailty resources",NA,"Link","NHS England - Frailty resources","https://www.england.nhs.uk/ourwork/clinical-policy/older-people/frailty/frailty-resources/","Frailty","Age Well",NA,NA,NA,NA
"NHS England - Preventing frailty",NA,"Link","NHS England - Preventing frailty","https://www.england.nhs.uk/ourwork/clinical-policy/older-people/frailty/preventing-frailty/","Frailty","Age Well",NA,NA,NA,NA
"NICE Guideline ",NA,"Link","NICE Guideline - Dementia, disability and frailty in later life - mid-life approaches to delay or prevent onset","https://www.nice.org.uk/guidance/ng16/resources/dementia-disability-and-frailty-in-later-life-midlife-approaches-to-delay-or-prevent-onset-pdf-1837274790085","Frailty","Age Well","Falls",NA,NA,NA
"The economic and social cost of harms associated with gambling in England","2023","Link","The economic and social cost of harms associated with gambling in England: evidence update 2023","https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/1128002/The-economic-cost-of-gambling-related-harm-in-England_evidence-update-2023.pdf","Gambling","Stay Well",NA,NA,NA,NA
"Nottingham City Council Health Needs Assessment",NA,"Link","Gambling related harm in Nottingham City: Health Needs Assessment","https://committee.nottinghamcity.gov.uk/documents/s146079/Nottingham%20City%20Gambling%20health%20needs%20assessment%20full%20report.pdf","Gambling","Stay Well",NA,NA,NA,NA
"GamCHAT",NA,"Link","GamCHAT: Research suggests that for every person experiencing gambling problems, 6 to 10 others are directly or indirectly impacted. Derbyshire Alcohol Advice Service (DAAS) offers a programme for those affected by someone else’s gambling problems called GamCHAT.","https://daas.uk.com/gamchat/","Gambling","Stay Well",NA,NA,NA,NA
"Gambler's Anonymous",NA,"Link","Gambler’s Anonymous: Gamblers Anonymous is a 12-step programme of abstinence, a fellowship where others with lived experience can support the recovery journey. In Derbyshire, local meetings include Derby city and Chesterfield.","https://www.gamblersanonymous.org.uk","Gambling","Stay Well",NA,NA,NA,NA
"Training for front-line professionals",NA,"Link","Training for front-line professionals: This population health gambling awareness training focuses on the state of play when it comes to gambling in the UK, its prevalence, harms, and risk factors. It covers identifying those at risk, how to intervene appropriately in the short-term, and formulating action plans to ensure long-term recovery.","https://www.derbyshire.gov.uk/social-health/health-and-wellbeing/your-health/gambling-problems/gambling-harm-training/tackling-gambling-related-harm-training-course.aspx","Gambling","Stay Well",NA,NA,NA,NA
"Derbyshire County Council's Gambling Support",NA,"Link","Derbyshire County Council’s Gambling Support Webpage","https://www.derbyshire.gov.uk/social-health/health-and-wellbeing/your-health/gambling-problems/support-for-gambling-problems.aspx","Gambling","Stay Well",NA,NA,NA,NA
"East Midlands Specialist NHS Clinic",NA,"Link","East Midlands Specialist NHS Clinic: A free NHS service has been launched to offer specialist treatment and support to people in the East Midlands who are struggling with a gambling problem. The East Midlands Gambling Harms Service, which is based in Derby, will provide specialist therapies, treatment, and recovery to those affected by gambling addiction and gambling problems in Derbyshire, either face-to-face, over the phone, or virtually.","https://www.eastmidlandsgambling.nhs.uk/","Gambling","Stay Well",NA,NA,NA,NA
"National Gambling Helpline",NA,"Link","National Gambling Helpline - a 24-hour service: The National Gambling Helpline gives confidential information, advice, and support for anyone affected by gambling harms in England, Scotland and Wales. You can speak with an adviser one-to-one over the phone or on live chat 24-hours-per-day, every day of the year, tel: 0808 8020 133. GamCare also offer a live chat option.","https://www.gamcare.org.uk/get-support/talk-to-us-now/","Gambling","Stay Well",NA,NA,NA,NA
"High stakes: gambling reform in the digital age",NA,"Link","High stakes: gambling reform in the digital age (gov.uk)- Gambling Act Review, the White Paper proposing reform measures.","https://www.gov.uk/government/publications/high-stakes-gambling-reform-for-the-digital-age","Gambling","Stay Well",NA,NA,NA,NA
"Greater Manchester: Gambling Harms Action Plan 2023-2026",NA,"Link","Greater Manchester: Gambling Harms Action Plan 2023-2026, a toolkit for Local Authorities","https://www.greatermanchester-ca.gov.uk/media/8479/20230925-gm-gambling-harms-action-plan-vfinal.pdf","Gambling","Stay Well",NA,NA,NA,NA
"LGBT+ experiences of using health services","2017","Report","This document was produced by Healthwatch Derbyshire. It summarises comments from the LGBT+ community regarding their experiences of general practice.","https://observatory.derbyshire.gov.uk/wp-content/uploads/reports/documents/health/specialist_reports_and_assessments/2016/LGBT_Experiences_of_using_health_service_26062017.pdf","Health inequalities","All",NA,NA,NA,NA
"Health inequalities in the East Midlands - An evidence report","2017","Report","This report has been developed for PHE East Midlands Centre as an evidence base on health inequalities for the East Midlands. The report reviews the inequalities in health across the East Midlands, expressed as inequalities in life expectancy.","https://observatory.derbyshire.gov.uk/wp-content/uploads/reports/documents/health/specialist_reports_and_assessments/2017/Health_inequalities_East_Midlands_2017.pdf","Health inequalities","All","Life Expectancy",NA,NA,NA
"Planning Control: Health Impact Assessment: Hartington Cheese Factory site 2011","2011","HIA","Health Impact Assessment of Hartington Cheese Factory site.","https://observatory.derbyshire.gov.uk/wp-content/uploads/reports/documents/health/specialist_reports_and_assessments/2011/Hartington_Dairy_HIA(3).pdf","HIA","All",NA,NA,NA,NA
"Derbyshire HS2 Health Impact Assessment Executive Summary","2013","HIA","Executive summary of a synthesis of evidence from community profiling, review of the literature and community consultation, with recommendations to HS2 Ltd. for maximising health gains and mitigating negative health consequences in respect of the high-speed rail development proposal HS2 Phase 2 initial preferred route in Eastern Derbyshire.","https://observatory.derbyshire.gov.uk/wp-content/uploads/reports/documents/health/specialist_reports_and_assessments/2013/Derbyshire%20HS2%20HIA%20Exec%20Summary.pdf","HIA","All",NA,NA,NA,NA
"Derbyshire HS2 Health Impact Assessment Full Report","2013","HIA","Full report of a synthesis of evidence from community profiling, review of the literature and community consultation, with recommendations to HS2 Ltd. for maximising health gains and mitigating negative health consequences in respect of the high-speed rail development proposal HS2 Phase 2 initial preferred route in Eastern Derbyshire.","https://observatory.derbyshire.gov.uk/wp-content/uploads/reports/documents/health/specialist_reports_and_assessments/2013/Derbyshire%20HS2%20HIA%20Final%20web.pdf","HIA","All",NA,NA,NA,NA
"Health Impact Assessment of the Avenue development","2016","HIA","This report comprises a synthesis of evidence from community profiling, review of the literature and community consultation, with recommendations to a number of organisations for maximising health gains and mitigating negative health consequences of the Avenue Development in North East Derbyshire.","https://observatory.derbyshire.gov.uk/wp-content/uploads/reports/documents/health/specialist_reports_and_assessments/2016/HIA_the_Avenue_development_2016.pdf","HIA","All",NA,NA,NA,NA
"Update of the 2013 Rapid Health Impact Assessment of HS2 initial preferred route in Eastern Derbyshire","2017","HIA","An update of community profiling, review of proposals and recommendations in response to the HS2 Realignment Phase 2b Eastern Leg.","https://observatory.derbyshire.gov.uk/wp-content/uploads/reports/documents/health/specialist_reports_and_assessments/2017/Update_of_HIA_HS2_Realignment_Phase_2b.pdf","HIA","All",NA,NA,NA,NA
"Mental Health Let's Chat",NA,"Link","Derby and Derbyshire - Emotional Health & Wellbeing","https://derbyandderbyshireemotionalhealthandwellbeing.uk/training-events/lets-chat-mental-health-and-giving-support","High Peak","Stay Well","North East Derbyshire","Mental Health","CSEMH","Amber Valley"
"Move More High Peak",NA,"Link","Move More High Peak","https://movemorehighpeak.co.uk/","High Peak","Stay Well",NA,NA,NA,NA
"Assessing Needs and Assets in Glossop-2014","2014","HNA","A partnership approach to collection and synthesis of evidence from key informant interviews, community profiling, asset/ service mapping and stakeholder consultation to inform health and wellbeing improvement in Glossop.","https://observatory.derbyshire.gov.uk/wp-content/uploads/reports/documents/health/specialist_reports_and_assessments/2014/Needs_and_assets_in_Glossop.pdf","High Peak","All",NA,NA,NA,NA
"Social Prescribing for Young People - Chesterfield FC Community Trust",NA,"Link","Chesterfield FC Community Trust social prescribing for young people. Thr1ve are a team of professional link workers supporting young people who want to make positive changes to their lives. They provide an award-winning 1:1 and group social prescribing service for young people aged 14-18, and young adults aged 19-25* (* with additional support needs).","https://spireitestrust.org.uk/social-prescribing-for-young-people/","High Peak","Start Well","CSEMH","North East Derbyshire",NA,NA
"Age UK Derby and Derbyshire - Live Stronger For Longer",NA,"Link","Activities, services, and information to prevent falls.","https://www.ageuk.org.uk/derbyandderbyshire/our-services/live-stronger-for-longer-170186fd-6b16-ee11-a81c-6045bd94e88e/","High Peak","Age Well","North East Derbyshire","Falls","Frailty","Amber Valley"
"Older People's Project Champion, Citizens Advice",NA,"Link","Helps over 65s access help and support","https://www.citizensadvicederbyshiredistricts.org.uk/get-help/over-65s/#:~:text=To%20book%20an%20appointment%20with,18001%20then%200808%20278%207954.","High Peak","Age Well",NA,NA,NA,NA
"High Peak Together",NA,"Link","High Peak Together Event Buxton Derbyshire (YouTube)","https://www.youtube.com/watch?v=qNu5jamO0n8&ab_channel=CustodianBritain","High Peak","All",NA,NA,NA,NA
"Homeless Link",NA,"Link","Homeless Link: The national membership charity for organisations working directly with people who become homeless in England. They work to make services better and campaign for policy change that will help end homelessness.","https://homeless.org.uk/","Homelessness","Stay Well","Housing",NA,NA,NA
"Derbyshire Homelessness Strategy 2022-2027","2022","Strategy","Derbyshire's first countywide Homelessness and Rough Sleeping Strategy 2022-2027","https://observatory.derbyshire.gov.uk/wp-content/uploads/reports/documents/health/jsna/Derbyshire_Homelessness_Strategy_2022-2027.pdf","Homelessness","Stay Well","Housing",NA,NA,NA
"Countywide Rough Sleeping Outreach Service",NA,"Link","Countywide Rough Sleeping Outreach Service: The district and borough councils have jointly commissioned a countywide rough sleeping outreach service. This service supports individuals experiencing rough sleeping to secure accommodation and prevent future rough sleeping. The service is operated by P3 Charity and can be contacted either through the online referral portal or by phoning 0808 1968199.","https://www.p3charity.org/DOT","Homelessness","Stay Well",NA,NA,NA,NA
"Street Support",NA,"Link","Street Support: Derbyshire is a newly launched online resource that connects people and organisations to tackle homelessness in Derbyshire. The site provides a comprehensive database of homelessness support services across the county.","https://www.streetsupport.net/derbyshire/","Homelessness","Stay Well",NA,NA,NA,NA
"Derbyshire Housing and Health Impact Assessment","2023","HIA","This Health Impact Assessment aimed to investigate the impact of poor quality, private sector housing on the health of residents in Derbyshire","https://observatory.derbyshire.gov.uk/wp-content/uploads/reports/documents/health/specialist_reports_and_assessments/2023/Derbyshire_Housing_and_Health_Impact_Assessment.pdf","Homelessness","Stay Well","Housing",NA,NA,NA
"A Place We Call Home: Housing, Accommodation and Support Strategy","2023","Strategy","Derbyshire All Age Adults' Housing, Accommodation and Support Strategy 2023-2038","https://www.derbyshire.gov.uk/site-elements/documents/pdf/social-health/care-and-health-service-providers/commissioning-services/derbyshire-all-age-adults-housing-accommodation-and-support-strategy-2023-to-2038.pdf","Homelessness","Stay Well","Housing",NA,NA,NA
"Derbyshire Housing Health Joint Needs Assessment","2016","HNA","The County Council's public health team commissioned a housing and health joint needs assessment to know more about the scale and nature of the problems faced, and what action can be taken. The intention is for this assessment to informing local commissioning by all organisations and individuals who are in a position to identify a risk to health from the home, and to take action.","https://observatory.derbyshire.gov.uk/wp-content/uploads/reports/documents/health/specialist_reports_and_assessments/2016/DerbyshireHousingHealthJNA2016.pdf","Housing","Stay Well",NA,NA,NA,NA
"Older People's Housing, Accomodation and Support - A commissioning strategy for Derbyshire 2019-2035","2019","Strategy","This is the updated commissioning strategy for housing, accommodation and support of older people in Derbyshire.","https://observatory.derbyshire.gov.uk/wp-content/uploads/reports/documents/health/specialist_reports_and_assessments/2019/older-peoples-housing-commissioning-strategy-for-derbyshire-2019-to-2035.pdf","Housing","Age Well","Housing",NA,NA,NA
"Healthy Home project",NA,"Link","Healthy Home project: This project offers people with a long-term health condition help with cold homes. The project helps improve home insulation and heating in order to keep your home warm and you healthy. You could be eligible for a free new energy efficient boiler, loft or cavity wall insulation or other energy saving measures subject to a survey by one of the Healthy Home team. You’ll receive advice to help you improve the efficiency of your heating system to reduce your fuel bills. The project also aims to keep you healthy and independent in your own home, and to do this we may offer you services run by other trusted organisations in your area. To find out if you’re eligible for the project email: healthyhome@derbyshire.gov.uk or tel: 01629 536919.","https://www.derbyshire.gov.uk/social-health/health-and-wellbeing/your-communitys-health/making-health-fairer/making-health-fairer.aspx#:~:text=Healthy%20home%20project&text=You%20could%20be%20eligible%20for,to%20reduce%20your%20fuel%20bills.","Housing","Stay Well",NA,NA,NA,NA
"Winter pressures",NA,"Link","Winter pressures - pathway for professionals: We recognise the challenges affecting everyone during the winter, but these challenges have been intensified this year by the impact of the current financial situation. People are affected in so many ways, this could be financially or it could have impacted on their health and wellbeing as they may have become lonely and isolated. The colder months can impact on everyone especially the older and vulnerable members of our community or those living with ill health or long-term conditions.","https://www.derbyshire.gov.uk/social-health/health-and-wellbeing/your-health/keeping-warm-in-winter/winter-pressures/winter-pressures-pathway-for-professionals.aspx","Housing","Stay Well","Financial","ESM",NA,NA
"P3 - People, Potential, Possibilities",NA,"Link","P3 - People, Potential, Possibilities: This service provides a safe place for adults who are homeless to live and combines it with a personalised support package to tackle the root cause of their homelessness.","https://www.p3charity.org/services/derbyshire-homelessness-service","Housing","Stay Well",NA,NA,NA,NA
"Early Read Learning Disabilities: Needs Assessment for Derby 2013","2013","HNA","This easy read report aims to examine the available data regarding the learning disabled population in Derby City  in order to identify particular areas of need. These document will also highlight where further information would be useful in understanding the needs and experiences of this population and will make recommendations for future work.","https://observatory.derbyshire.gov.uk/wp-content/uploads/reports/documents/health/specialist_reports_and_assessments/2013/Derby_LD_Needs_Assessment_Easy_Read_Summary.pdf","Learning Disability","Stay Well",NA,NA,NA,NA
"Early Read Learning Disabilities: Needs Assessment for Derbyshire 2013","2013","HNA","This easy read report aims to examine the available data regarding the learning disabled population in Derbyshire County in order to identify particular areas of need. These document will also highlight where further information would be useful in understanding the needs and experiences of this population and will make recommendations for future work.","https://observatory.derbyshire.gov.uk/wp-content/uploads/reports/documents/health/specialist_reports_and_assessments/2013/Derbyshire_LD_Needs_Assessment_Easy_Read_Summary.pdf","Learning Disability","Stay Well",NA,NA,NA,NA
"Learning Disabilities: Needs Assessment for Derbyshire 2013","2013","HNA","This report aims to examine the available data regarding the learning disabled population in Derbyshire County and Derby City in order to identify particular areas of need. This document will also highlight where further information would be useful in understanding the needs and experiences of this population and will make recommendations for future work.","https://observatory.derbyshire.gov.uk/wp-content/uploads/reports/documents/health/specialist_reports_and_assessments/2013/Derbyshire_LD_needs_assessment_final1.pdf","Learning Disability","Stay Well",NA,NA,NA,NA
"Access to Health Services for People with Learning Disabilities Report","2015","Report","Report by Health Watch Derbyshire exploring access to health services for people with learning disabilities.","https://observatory.derbyshire.gov.uk/wp-content/uploads/reports/documents/health/specialist_reports_and_assessments/2015/Access_to_Health_Services_for_People_with_Learning_Disabilities_Report2015.pdf","Learning Disability","Stay Well",NA,NA,NA,NA
"ONS Life expectancy",NA,"Link","ONS Life expectancy","https://www.ons.gov.uk/peoplepopulationandcommunity/birthsdeathsandmarriages/lifeexpectancies","Life Expectancy","Stay Well",NA,NA,NA,NA
"Mental Health: Derbyshire Mental Health Needs Assessment 2011","2011","HNA","Mental health needs assessment for Derbyshire.","https://observatory.derbyshire.gov.uk/wp-content/uploads/reports//documents/health/disease_and_long_term_conditions/mental_health/Derbyshire_MHNA_Sept2011.pdf","Mental Health","Stay Well","Perinatal MH",NA,NA,NA
"Derbyshire Emotional Health & Well-being Survey report 2015","2015","Report","The aim of the 2015 Derbyshire emotional health and well-being survey was to provide insight into the experiences, behaviour and lives of young people currently in school year 8 (aged 12-13).","https://observatory.derbyshire.gov.uk/wp-content/uploads/reports/documents/health/children_and_younger_people/Derbyshire_Emotional_Health_WellBeing_Survey_Report2015.pdf","Mental Health","Stay Well","CSEMH",NA,NA,NA
"Hospital admissions as a result of 
self-harm for 10-24 year olds 
living in Derbyshire","2017","Report","This report investigates the scale and nature of hospital admissions as a result of self-harm amongst children and young people aged 10-24 years living in Derbyshire, via secondary analysis of Hospital Episode Statistics.","https://observatory.derbyshire.gov.uk/wp-content/uploads/reports/documents/health/children_and_younger_people/Derbyshire_Self-Harm_Hospital_Admissions_10-24Years_2017.pdf","Mental Health","Stay Well","CSEMH",NA,NA,NA
"Joined Up Care Derbyshire: Musculoskeletal and Physiotherapy",NA,"Link","Joined Up Care Derbyshire: Musculoskeletal and Physiotherapy","https://joinedupcarederbyshire.co.uk/your-services/musculoskeletal-and-physiotherapy/","MSK","Age Well",NA,NA,NA,NA
"Derbyshire County Council - Musculoskeletal health in workplaces",NA,"Link","Derbyshire County Council - Musculoskeletal health in workplaces","https://www.derbyshire.gov.uk/business/healthy-workplaces/muscoskeletal/musculoskeletal.aspx","MSK","Age Well",NA,NA,NA,NA
"National Dental Epidemiology Programme for England: oral health survey of 5-year-olds 2019","2019","Link","A report on the variations in prevalence and severity of dental decay.","https://assets.publishing.service.gov.uk/media/5e721fdc86650c72713d2520/NDEP_for_England_OH_Survey_5yr_2019_v1.0.pdf","Oral Health","Stay Well",NA,NA,NA,NA
"How easy is it to find an NHS dentist in Derbyshire?","2021","Report","A review of the NHS.uk find a dentist search function","https://dchs.nhs.uk/application/files/2016/6929/1821/V2-How-easy-is-it-to-find-an-NHS-dentist-in-Derbyshire-30112021-HA.pdf","Oral Health","Stay Well",NA,NA,NA,NA
"Derbyshire Oral Health Promotion Team & Community Dental Care Services",NA,"Link","Derbyshire Oral Health Promotion Team, Community dental care services","https://dchs.nhs.uk/our-services-and-locations/a-z-list-of-services/oral-health-promotion","Oral Health","Stay Well",NA,NA,NA,NA
"Derbyshire County Council",NA,"Link","Derbyshire County Council","https://www.derbyshire.gov.uk/social-health/health-and-wellbeing/your-health/oral-health/oral-health.aspx","Oral Health","Stay Well",NA,NA,NA,NA
"Healthwatch Derbyshire",NA,"Link","Healthwatch Derbyshire","https://www.healthwatchderbyshire.co.uk/","Oral Health","Stay Well",NA,NA,NA,NA
"Primary Dental Care Services",NA,"Link","Primary Dental Care Services","https://www.nhs.uk/service-search/find-a-dentist","Oral Health","Stay Well",NA,NA,NA,NA
"A literature review investigating the effectiveness of 'teachable moments' on positive health behaviour change","2018","Report","In light of the barriers to MECC, this study aims to explore the concept of 'teachable moments' and identify its effectiveness of encouraging healthy lifestyle choices specifically in a primary care setting, in order to help inform MECC delivery.","https://observatory.derbyshire.gov.uk/wp-content/uploads/reports//documents/health/specialist_reports_and_assessments/2018/Teachable_moments_literature_review(08012018).pdf","Other","All",NA,NA,NA,NA
"A Health Needs Assessment of offenders in the community- Derbyshire & Derby City 2018 - Full Report","2018","HNA","This HNA Full Report focuses on identifying the health needs of community offenders in the areas covered by Derbyshire County Council and Derby City Council.","https://observatory.derbyshire.gov.uk/wp-content/uploads/reports/documents/health//specialist_reports_and_assessments/2018/Derbyshire_and_Derby_City_Offenders_HNA_2018_Full_report.pdf","Other","Stay Well",NA,NA,NA,NA
"Offender Health: Health Needs Assessment for CARATS and accredited drug treatment programmes in Derbyshire prisons 2011","2011","HNA","Health needs assessment for CARAT services (Counselling, Assessment, Referral, Advice and Throughcare) and accredited drug treatment programmes in the two Derbyshire prisons Foston Hall and Sudbury.","https://observatory.derbyshire.gov.uk/wp-content/uploads/reports/documents/health/adult_lifestyles/drug_misuse/CARATS_HNA_Aug2011.pdf","Other","All",NA,NA,NA,NA
"Care Homes - A Literature Review","2010","Report","This review aimed to identify if disease prevalence within care homes is higher than the general elderly population.","https://observatory.derbyshire.gov.uk/wp-content/uploads/reports/documents/health/specialist_reports_and_assessments/2010/Care_Homes_A_Literature_Review_2010.pdf","Other","Age Well",NA,NA,NA,NA
"Care Homes - A Literature Review 2013","2013","Report","This 2013 review aimed to identify if disease prevalence within care homes is higher than the general elderly population.","https://observatory.derbyshire.gov.uk/wp-content/uploads/reports/documents/health/specialist_reports_and_assessments/2013/Care_Homes_A_Literature_Review_2013_Final.pdf","Other","Age Well",NA,NA,NA,NA
"A Health Needs Assessment of offenders in the community- Derbyshire & Derby City 2018 - Appendices","2018","HNA","This HNA focuses on identifying the health needs of community offenders in the areas covered by Derbyshire County Council and Derby City Council.","https://observatory.derbyshire.gov.uk/wp-content/uploads/reports/documents/health/specialist_reports_and_assessments/2018/Derbyshire_and_Derby_City_Offenders_HNA_2018_Appendices.pdf","Other","Stay Well",NA,NA,NA,NA
"A Health Needs Assessment of offenders in the community- Derbyshire & Derby City 2018 - Executive Summary","2018","HNA","This HNA Executive Summary focuses on identifying the health needs of community offenders in the areas covered by Derbyshire County Council and Derby City Council.","https://observatory.derbyshire.gov.uk/wp-content/uploads/reports/documents/health/specialist_reports_and_assessments/2018/Derbyshire_and_Derby_City_Offenders_HNA_2018_Executive_Summary.pdf","Other","Stay Well",NA,NA,NA,NA
"5G Health Impacts Evidence Summary 2019","2019","Report","This evidence summary has been produced to provide an overview of recent 5G technology guidelines and evidence related to the health.","https://observatory.derbyshire.gov.uk/wp-content/uploads/reports/documents/health/specialist_reports_and_assessments/2019/5G_Technology_Health_Impacts_Evidence%20Summary2019.pdf","Other","All",NA,NA,NA,NA
"5G Health Impacts Evidence Summary 2019 - Plain English version","2019","Report","This plain English summary has been produced to provide an overview of recent 5G technology guidelines and evidence related to the health.","https://observatory.derbyshire.gov.uk/wp-content/uploads/reports/documents/health/specialist_reports_and_assessments/2019/5G_Technology_Health_Impacts_Plain_English_Summary2019.pdf","Other","All",NA,NA,NA,NA
"Advice Services Delivered in Primary Care and Community Settings: Evidence Summary","2022","Report","Evidence summary of advice services delivered in primary care and community settings.","https://observatory.derbyshire.gov.uk/wp-content/uploads/reports/documents/health/specialist_reports_and_assessments/2022/KIT_Evidence_Summary_Advice_services.pdf","Other","All",NA,NA,NA,NA
"Ankyloglossia Hospital Episode Statistics Report","2023","Report","Hospital outpatient attendances for the treatment of ankyloglossia (tongue-tie) for children under the age of one year living in Derby and Derbyshire.","https://observatory.derbyshire.gov.uk/wp-content/uploads/reports/documents/health/specialist_reports_and_assessments/2023/Ankyloglossia_Hospital_Episode_Statistics_Report.pdf","Other","Start Well",NA,NA,NA,NA
"Derbyshire Health and Wellbeing Strategy","2022","Strategy","The Health and Wellbeing Board has to publish a strategy setting out its key priorities and how members will work together to improve the health and wellbeing of Derbyshire’s residents.","https://www.derbyshire.gov.uk/site-elements/documents/pdf/social-health/health-and-wellbeing/derbyshire-health-and-wellbeing-strategy-2022.pdf","Overarching","Overarching","Health and Wellbeing board","Chesterfield",NA,NA
"Active Derbyshire",NA,"Link","Active Derbyshire supports people to increase their activity levels in a way that works for them.","https://makingourmove.org.uk/","Physical Activity","Stay Well",NA,NA,NA,NA
"Walk Derbyshire",NA,"Link","Walk Derbyshire provides information and support to encourage communities to walk more.","https://walkderbyshire.org.uk/","Physical Activity","Stay Well",NA,NA,NA,NA
"Jog Derbyshire",NA,"Link","Jog Derbyshire is a network of social jogging groups in Derbyshire.","https://www.jogderbyshire.co.uk/","Physical Activity","Stay Well",NA,NA,NA,NA
"Derby and Derbyshire Pharmaceutical Needs Assessment 2015","2015","HNA","Pharmaceutical Needs Assessment for Derby and Derbyshire 2015.","https://observatory.derbyshire.gov.uk/wp-content/uploads/reports/documents/health/pharmaceutical_needs_assessment/Derby_Derbyshire_PNA2015_final_v1.pdf#view=Fit","PNA","All",NA,NA,NA,NA
"Derby City and Derbyshire County Pharmaceutical Needs Assessment 2018-2021","2018","HNA","The 2018-2021 Pharmaceutical Needs Assessment (PNA) has been produced for both Derby City Council and Derbyshire County Council Health & Wellbeing Boards. The PNA is a statement of current pharmaceutical services provided in the local area. It assesses whether provision is satisfactory to meet the health, wellbeing and care needs of the local population, informs the planning of services and is used as the basis for determining market entry to a pharmaceutical list.","https://observatory.derbyshire.gov.uk/wp-content/uploads/reports/documents/health/pharmaceutical_needs_assessment/Derby_Derbyshire_PNA201821_FinalPublicationv3.pdf#view=Fit","PNA","All",NA,NA,NA,NA
"Derbyshire Observatory population and households",NA,"Link","Derbyshire Observatory Population overview.","https://observatory.derbyshire.gov.uk/population-and-households/","Population","Overarching",NA,NA,NA,NA
"ONS population and migration","2024","Link","Size, age, sex and geographic distribution of the UK population, including data on international migration, migration within the UK, changes in the population and the factors driving these changes.","https://www.ons.gov.uk/peoplepopulationandcommunity/populationandmigration","Population","Overarching",NA,NA,NA,NA
"ONS mid-year population estimates 2022","2022","Link","Mid year estimates","https://www.ons.gov.uk/peoplepopulationandcommunity/populationandmigration/populationestimates/bulletins/populationestimatesforenglandandwales/mid2022","Population","Overarching",NA,NA,NA,NA
